Name	coll_freq
ira	7
gratia	18
dux	13
deus	21
sanguis	10
opus	19
exemplum	15
annus	22
fortuna	10
ago	246
fama	7
lex	27
persona	7
modus	21
pecunia	8
populus	22
scelus	7
manus	20
corpus	15
peccatum	9
homo	25
res	91
consul	23
uerbum	16
uis	11
proelium	12
locus	24
defensio	8
urbs	16
crimen	9
pars	30
genus	25
tempus	23
ager	11
miles	14
dies	21
ratio	21
uir	21
mens	18
nomen	30
uirtus	14
causa	54
auctor	12
consilium	22
bellum	23
nihil	23
quaestio	8
senatus	44
facio	415
laus	14
tribunus	11
animus	42
oculus	11
mos	12
hostis	15
imperium	18
fides	13
iudicium	18
iudex	9
potestas	6
filius	15
uita	13
dictum	13
ordo	11
finis	9
ius	20
rex	21
praemium	14
sententia	15
legatus	11
pater	23
domus	16
