from	to	MI
odium	potio	2.1377856271225273
odium	iniquitas	2.067396299231129
odium	dominatio	1.8450038778946816
odium	atrox	1.8450038778946816
odium	remedium	1.7999159883661449
odium	offensio	1.777889682036145
odium	accusatio	1.6523587999522853
odium	adfectus	1.6523587999522853
odium	militia	1.6199373222599078
odium	persona	1.6199373222599078
odium	seueritas	1.593465110898718
odium	romani	1.571438804568718
odium	romanus	1.523075783007318
odium	infamia	1.4679342288148582
odium	inuidia	1.444087486860493
odium	occasio	1.4373459089814364
odium	remedium	1.4373459089814364
odium	plebs	1.4373459089814347
odium	inimicitia	1.4266460203242257
odium	ueritas	1.4008200329563216
odium	legio	1.3304307050649236
odium	conscientia	1.3304307050649236
odium	infamia	1.3304307050649236
odium	pernicies	1.3304307050649236
odium	romani	1.3304307050649236
odium	seueritas	1.3304307050649236
odium	superbia	1.3304307050649236
odium	iudex	1.276991446103466
odium	romanus	1.2600413771735255
odium	inimicus	1.2402328960933442
odium	uictus	1.2149534876449888
odium	meretrix	1.204899822981064
odium	inimicus	1.1929271813149906
odium	magistratus	1.1929271813149889
odium	offensio	1.1929271813149889
odium	otium	1.1699660328716774
odium	iustitia	1.1605057036226114
odium	iniuria	1.1419856156518122
odium	inimicitia	1.116305899712076
odium	luxuria	1.108038283728476
odium	plebs	1.0894226055611291
odium	caritas	1.0740909518051378
odium	discordia	1.0673962992311292
odium	meretrix	1.0673962992311292
odium	nepos	1.0673962992311292
odium	seditio	1.0673962992311292
odium	tribunus	1.0673962992311292
odium	supplicium	1.0503227858721882
odium	misericordia	1.0503227858721864
odium	iniuria	1.0376489558370778
odium	memoria	1.0223084097025925
odium	inuidia	1.0144032116172461
odium	obsequium	1.0085026101775618
odium	imperator	1.00850261017756
odium	ira	1.0030687241269334
odium	gloria	0.9893937872298579
odium	crudelitas	0.9893937872298562
odium	negotium	0.9825074016446163
odium	iudex	0.9753357462423615
odium	ciuitas	0.9713496117600968
odium	miles	0.9713496117600968
odium	consul	0.9678606256802134
odium	cupiditas	0.9584619276779662
odium	habitus	0.9519190818111944
odium	amicitia	0.9493405377094177
odium	misericordia	0.9434075819556753
odium	supplicium	0.9434075819556753
odium	exitus	0.9153932057860796
odium	praeda	0.9153932057860796
odium	praemium	0.9153932057860796
odium	exercitus	0.8997963507350608
odium	bonus	0.8943315902582505
odium	oratio	0.8943315902582505
odium	crudelitas	0.8898581136789421
odium	periculum	0.8856458623920282
odium	molestia	0.8829717280937022
odium	ordo	0.8779185003674179
odium	ira	0.8750611117508598
odium	facinus	0.8709990864276271
odium	sententia	0.8709990864276271
odium	discordia	0.8609454217637023
odium	beneuolentia	0.8564995167325122
odium	periculum	0.8450038778946833
odium	argumentum	0.8450038778946816
odium	uulgus	0.8450038778946816
odium	amator	0.8279303645357405
odium	potestas	0.8158575322351656
odium	uictoria	0.8158575322351656
odium	iudicium	0.8110565459713452
odium	consul	0.8043618933973349
odium	scelus	0.7999159883661449
odium	auaritia	0.78986232370222
odium	necessitas	0.78986232370222
odium	praeda	0.78986232370222
odium	filius	0.7872883800383974
odium	malum	0.7829429097624292
amor	crin	1.7425566089238647
amor	medicina	1.7425566089238647
amor	esca	1.7425566089238647
amor	situs	1.590553515478815
amor	uacca	1.590553515478815
amor	ferus	1.420628514036503
amor	peregrinus	1.3275191096450207
amor	tot	1.3275191096450207
amor	argentum	1.3275191096450207
amor	pactum	1.3275191096450207
amor	plaga	1.3275191096450207
amor	coma	1.2686254205914516
amor	breuis	1.2686254205914516
amor	diuitia	1.2686254205914516
amor	saeuus	1.2686254205914498
amor	cynthia	1.1982360927000553
amor	gallus	1.1982360927000553
amor	coniugis	1.143094538507592
amor	corona	1.143094538507592
amor	ras	1.143094538507592
amor	currus	1.105126688308573
amor	praeceptum	1.0759803426490553
amor	hora	1.0600387987800328
amor	ferus	1.005591014757659
amor	gener	1.005591014757659
amor	cynthia	1.005591014757659
amor	alimentum	1.0055910147576572
amor	meretrix	1.0055910147576572
amor	oppidum	1.0055910147576572
amor	perturbatio	1.0055910147576572
amor	senex	1.0055910147576572
amor	coniugis	1.0055910147576572
amor	passus	1.0055910147576572
amor	rapina	1.0055910147576572
amor	iuuenis	0.9490074863912898
amor	donum	0.9231288545656859
amor	amica	0.9124816103661768
amor	puluis	0.9124816103661768
amor	ueneris	0.8986758108411461
amor	uicissim	0.8986758108411461
amor	herba	0.8931162854992447
amor	uictus	0.8901137973377207
amor	arbitrium	0.8800601326737993
amor	historia	0.8800601326737993
amor	uirginitas	0.8800601326737993
amor	collum	0.8680874910077225
amor	constantia	0.8680874910077225
amor	fabula	0.8680874910077225
amor	iugum	0.8535879213126076
amor	uenia	0.8356660133153468
amor	fames	0.8356660133153468
amor	puella	0.8287132526735803
amor	artifex	0.8129459368152627
amor	castum	0.8129459368152627
amor	colla	0.8129459368152627
amor	columba	0.8129459368152627
amor	fors	0.8129459368152627
amor	prudentia	0.8129459368152627
amor	titulus	0.8129459368152627
amor	porta	0.8129459368152627
amor	taurus	0.8129459368152627
amor	furtum	0.7991401372902303
amor	osculum	0.7991401372902303
amor	reuerentia	0.794086909563946
amor	ceruix	0.7831985934212113
amor	pectora	0.7831985934212113
amor	penna	0.7831985934212113
amor	philosophus	0.7831985934212113
amor	senectus	0.7831985934212113
amor	catena	0.7831985934212113
amor	cithara	0.7831985934212113
amor	aequor	0.7831985934212096
amor	negotium	0.7831985934212096
amor	iocus	0.7711257611206346
amor	praeceptum	0.7711257611206346
amor	puella	0.7645829152538646
amor	nuptiae	0.7645829152538628
amor	aura	0.7645829152538628
amor	aditus	0.7425566089238647
amor	aer	0.7425566089238647
amor	lapis	0.7425566089238647
amor	muliercula	0.7425566089238647
amor	aratrum	0.7425566089238647
amor	commendatio	0.7425566089238647
amor	solacium	0.7425566089238647
amor	tus	0.7425566089238647
amor	domina	0.7280570392287498
amor	ala	0.716084397562673
amor	uas	0.716084397562673
amor	pignus	0.7134102632643469
amor	tor	0.7060307328987498
amor	mel	0.7060307328987498
amor	memor	0.7060307328987498
amor	uinum	0.7060307328987498
amor	amplexus	0.6974687193953262
