Name	coll_freq
ueneris	7
saeuus	10
commendatio	6
consul	36
superbia	15
fabula	11
caritas	43
mel	8
ala	11
iuuenis	13
amor	2976
auaritia	16
praeceptum	10
ras	5
scelus	52
uictoria	20
uacca	4
potio	8
muliercula	6
perturbatio	5
situs	4
lapis	6
ciuitas	59
exitus	16
pectora	7
seditio	12
aditus	9
praemium	20
facinus	22
crin	3
accusatio	8
amica	8
artifex	8
militia	9
dominatio	7
diuitia	5
rapina	5
penna	7
seueritas	10
herba	20
titulus	8
reuerentia	11
discordia	18
domina	20
romani	11
iugum	10
puluis	8
beneuolentia	25
supplicium	17
habitus	13
medicina	3
obsequium	15
tor	8
memoria	26
potestas	30
persona	9
imperator	35
amicitia	56
conscientia	16
coniugis	5
passus	5
inimicitia	29
coma	5
plaga	6
romanus	21
argumentum	14
fames	9
oratio	23
meretrix	12
prudentia	12
periculum	49
castum	8
historia	6
senectus	7
aura	13
hora	13
uinum	24
miles	59
alimentum	5
osculum	15
nuptiae	13
praeda	16
luxuria	14
ueritas	20
uirginitas	6
atrox	7
uictus	13
solacium	6
memor	8
ferus	6
porta	8
cupiditas	44
arbitrium	6
aratrum	6
inimicus	33
columba	8
currus	7
plebs	26
catena	7
tot	4
donum	9
negotium	14
misericordia	34
exercitus	31
peregrinus	4
corona	5
taurus	12
cynthia	7
iustitia	18
pernicies	11
amplexus	13
tribunus	12
iudicium	43
iocus	10
collum	11
puella	52
ira	133
uas	11
pactum	4
otium	19
tus	9
amator	17
adfectus	8
occasio	13
iudex	55
philosophus	7
uulgus	14
necessitas	16
ordo	26
magistratus	11
argentum	6
fors	8
gallus	7
sententia	22
colla	8
legio	11
uenia	9
crudelitas	19
molestia	15
oppidum	5
offensio	11
gener	6
aer	9
inuidia	61
filius	102
odium	1188
remedium	13
constantia	11
ceruix	7
gloria	38
furtum	15
pignus	30
infamia	10
malum	19
senex	10
uicissim	7
cithara	7
iniquitas	6
iniuria	49
nepos	12
breuis	5
bonus	23
aequor	14
esca	3
