from	to	PMI
familia	dolus	2.54286474922025
familia	dolus	2.464862237218977
familia	adoptio	2.201827831385181
familia	procurator	2.0212555857433614
familia	diligentia	1.9794354100487332
familia	procurator	1.9217199121924473
familia	municipium	1.9022675495262753
familia	praetura	1.8233162081314518
familia	cognomen	1.7543688544139595
familia	adoptio	1.661259450022479
familia	ministerium	1.661259450022479
familia	uitium	1.57379660877214
familia	damnum	1.5497511348054882
familia	cultus	1.4648622372189752
familia	senator	1.442835930888977
familia	frumentum	1.4362930850222053
familia	consulatus	1.3204723278838024
familia	magnitudo	1.2758284128289592
familia	stirps	1.2758284128289592
familia	odium	1.2689420272437175
familia	libertus	1.2507374318661277
familia	mater	1.2398958722187032
familia	iudex	1.2287948789854504
familia	iudicium	1.226075377631858
familia	marcus	1.2187016499495797
familia	matrona	1.2018278313851827
familia	possessio	1.2018278313851827
familia	nobilitas	1.201827831385181
familia	uoluntas	1.201827831385181
familia	seruus	1.189444106929347
familia	iudicium	1.1771657771509112
familia	pater	1.1363104204609726
familia	uis	1.1327861869555313
familia	imperator	1.1143649901348418
familia	nuptiae	1.1022921578342668
familia	iniuria	1.0949126274686698
familia	marcus	1.0778391141097288
familia	legio	1.076296949301323
familia	consulatus	1.0725448144402137
familia	origo	1.0643243076352462
familia	seruus	1.0593835663649749
familia	heres	1.0549864430559115
familia	libertus	1.0442865543987025
familia	nuntius	1.0174032602477538
familia	familia	1.0054903711150125
familia	pecunia	0.9594669938161395
familia	aetas	0.9567153335486509
familia	possessio	0.9387934255513883
familia	legio	0.9387934255513883
familia	pecunia	0.9238430840854193
familia	uis	0.9197924636213344
familia	uas	0.9063719478590109
familia	disciplina	0.896973249856762
familia	nuptiae	0.8798997364978192
familia	iudex	0.8662247996007437
familia	ager	0.8550250678587901
familia	gradus	0.8539045279648736
familia	exemplum	0.8350455007135604
familia	heres	0.8325940217194638
familia	insula	0.8233162081314518
familia	genus	0.8214040871876733
familia	dignitas	0.7958354717093457
familia	argentum	0.7786164006606384
familia	cupiditas	0.7688684241090762
familia	numerus	0.7570429887122874
familia	opera	0.7543688544139595
familia	laus	0.7278966430527714
familia	nomen	0.7177060201708514
familia	praetor	0.7164010042149389
familia	inuidia	0.7070631396356042
familia	consul	0.7038009674353063
familia	crimen	0.6993274908559997
