Name	coll_freq
osculum	9
crimen	34
nuptiae	30
sponsa	6
praeses	6
matrona	26
dignitas	53
nobilitas	32
odium	21
situs	9
gratulatio	9
consulatus	35
lictor	8
ambitus	7
senator	22
gradus	28
actio	9
numerus	49
forus	4
senatus	157
arx	20
palatium	8
bracchia	4
possessio	24
adulterium	15
conuiuio	5
uas	27
uarietas	6
auctor	38
exemplum	49
uoluntas	28
oppidum	41
lac	6
hostia	7
patronus	8
aruus	10
uis	107
thronus	4
seruulus	7
gratia	84
parricidium	7
damnum	22
uacua	6
perfugium	6
fames	12
argentum	59
usus	53
uitium	17
tyrannus	14
uenenum	13
opera	30
uerbum	75
caedes	29
lex	112
inuidia	31
tribunus	53
genus	151
disciplina	42
praetor	42
clanculum	4
pater	473
fer	6
fastigium	8
mancipium	13
animal	7
legio	24
diligentia	14
leno	6
timor	15
edepol	5
can	9
nocs	8
mandatum	13
poss	7
uirtus	81
imagi	5
fretum	11
iudicium	59
sollicitudo	6
dos	11
magnitudo	19
supus	4
talentum	6
stirps	19
palla	11
exilium	13
liber	54
pontus	5
colla	6
maestitia	5
comitatus	7
alimentum	8
municipium	16
homo	310
familia	1006
officina	7
filius	235
uirga	9
dei	4
ager	117
domus	4942
curriculum	3
aetheria	5
argenteus	6
nuntius	25
senex	22
nouerca	13
origo	22
decor	8
iniuria	28
cena	22
adoptio	16
cognomen	15
libertus	29
libertas	35
lignum	13
libellus	6
imperator	51
fidicina	3
aetas	64
frumentum	17
nomen	221
patientia	7
cultus	20
nummus	20
amator	18
mos	103
consul	161
medicamentum	7
dolus	15
ueneris	4
insula	26
mater	187
inimicitia	10
ministerium	16
triennium	7
for	5
procurator	17
epistula	12
fumus	11
cupiditas	27
pactum	10
mulier	75
furtum	8
uxor	161
ramus	15
filia	67
meretrix	15
marcus	85
memoria	49
nuncia	3
pecunia	97
iudex	53
dimidium	5
moenia	8
heres	31
honus	8
seruus	117
praetura	13
laus	50
penas	38
quaestus	10
praeceptum	15
