from	to	PMI
gladius	reus	1.8700504466491363
gladius	piscis	1.7611160750959716
gladius	orio	1.5805438294541503
gladius	beneficium	1.4810081559032362
gladius	adulterium	1.4550129473702924
gladius	femor	1.374092951986725
gladius	tyrannus	1.3581514081177026
gladius	adulterium	1.3175094236203577
gladius	lectus	1.3175094236203577
gladius	femor	1.2586157345667885
gladius	clipeo	1.1330848524829307
gladius	uenenus	1.1110585461529308
gladius	beneficium	0.995581328732996
gladius	parricidium	0.995581328732996
gladius	maritus	0.9955813287329942
gladius	potestas	0.9955813287329942
gladius	percussor	0.9955813287329942
gladius	contio	0.9131191685410212
gladius	capulum	0.8700504466491363
gladius	iudex	0.8700504466491363
gladius	iugulum	0.8700504466491363
gladius	percussor	0.8700504466491363
gladius	iudicium	0.8700504466491363
gladius	nex	0.8700504466491363
gladius	scutus	0.8700504466491363
gladius	uxor	0.8435782352879446
gladius	caritas	0.7731889073965466
gladius	spatium	0.7731889073965466
gladius	opus	0.7660994826102279
gladius	uagina	0.7504688308964624
gladius	contio	0.7325469228992016
gladius	fames	0.7325469228992016
gladius	ciuitas	0.7325469228992016
gladius	pedes	0.7325469228992016
gladius	silentium	0.7325469228992016
gladius	lanceus	0.7325469228992016
gladius	maritus	0.7325469228992016
gladius	uenenus	0.7325469228992016
gladius	cubiculum	0.7060747115380099
gladius	sententia	0.6874590333706632
gladius	quies	0.6736532338456325
gladius	ratio	0.6476580253126887
gladius	centurio	0.6330112493482858
gladius	comes	0.6236125513460369
gladius	cubiculum	0.6236125513460369
gladius	causa	0.6236125513460369
gladius	usus	0.6170697054792651
gladius	mucro	0.6122526891814903
gladius	impetus	0.6032639059542344
gladius	facinus	0.5805438294541521
gladius	mulier	0.5805438294541521
gladius	uxor	0.5805438294541521
gladius	pilus	0.5805438294541503
gladius	species	0.5805438294541503
gladius	uagina	0.5805438294541503
gladius	iugulum	0.5805438294541503
gladius	seruus	0.5519746772573804
gladius	lux	0.5519746772573804
gladius	dominus	0.5399018449568054
gladius	ceruix	0.5361497100956978
gladius	homo	0.5316342289732052
gladius	mucrum	0.5260960454317747
gladius	laus	0.5260960454317747
gladius	pilus	0.5260960454317747
gladius	copia	0.510154501562754
gladius	libertas	0.510154501562754
gladius	impetus	0.510154501562754
gladius	paries	0.510154501562754
gladius	lex	0.49808166926217723
gladius	seruus	0.4930809882038112
gladius	pater	0.481008155903238
gladius	mucro	0.481008155903238
gladius	legio	0.4810081559032362
gladius	mulier	0.4810081559032362
gladius	orbis	0.4810081559032362
gladius	quies	0.4810081559032362
gladius	sol	0.4810081559032362
gladius	gloria	0.4810081559032362
gladius	iuuenis	0.46506661203421373
gladius	sors	0.46506661203421373
gladius	pax	0.4550129473702924
gladius	homo	0.4550129473702924
gladius	nihil	0.4550129473702924
gladius	ars	0.4430403057042174
gladius	opus	0.43168044353966906
gladius	filius	0.4285407360091007
gladius	nauis	0.4106188280118399
gladius	forum	0.41061882801183813
gladius	capulum	0.41061882801183813
gladius	dolor	0.41061882801183813
gladius	lex	0.41061882801183813
gladius	membrum	0.41061882801183813
gladius	pilum	0.41061882801183813
gladius	princeps	0.41061882801183813
gladius	uictus	0.41061882801183813
gladius	ensis	-1.2198077048656906
ensis	strictus	2.420621072712864
ensis	sol	1.9731620957416425
ensis	clipeus	1.6550863263498865
ensis	frater	1.3950859806057245
ensis	uictor	1.3881995950204864
ensis	ira	1.3408938802421293
ensis	caelum	1.333158231462523
ensis	arma	1.3120966159346938
ensis	ira	1.2737796843835927
ensis	campus	1.2506960712705517
ensis	clipeus	1.2076273493786651
ensis	galea	1.2076273493786651
ensis	ensis	1.2052320391141755
ensis	uirtus	1.1575866668790695
ensis	deus	1.1352188538506152
ensis	ignis	1.0986929778255021
ensis	uox	1.0701238256287304
ensis	frater	1.047162677185419
ensis	telum	1.0007178182622045
ensis	telum	0.9205474695782208
ensis	signum	0.8922421003580752
ensis	dux	0.8881259918858415
ensis	cruor	0.8356585719917078
ensis	uultus	0.8356585719917078
ensis	latus	0.835658571991706
ensis	os	0.7912644526332535
ensis	dux	0.7812107879693304
ensis	equus	0.7287433680751949
ensis	cruor	0.7201813545717712
ensis	deus	0.7201813545717712
ensis	sanguis	0.7201813545717712
ensis	terra	0.6657335705493939
ensis	arma	0.5851151103411105
ensis	caedes	0.5726241661579135
ensis	modus	0.5726241661579135
ensis	populus	0.513730477104346
ensis	acies	0.5137304771043443
ensis	uir	0.39955945718503294
ensis	uulnus	0.3881995950204864
ensis	bellum	0.3762269533544096
ensis	latus	0.3502317448214658
ensis	manus	0.3308664199545355
ensis	bellum	0.3022263719106313
ensis	gens	0.2950901906290042
ensis	manus	0.2913380557678966
ensis	ferrum	0.2810697203140684
ensis	mors	0.2506960712705517
ensis	caput	0.21674873934721184
ensis	pars	0.18358187541201332
ensis	uir	0.11945153799229757
ensis	acies	0.04424519380312475
ensis	sanguis	0.04210944945913475
ensis	caput	-0.005643681989235816
ensis	animus	-0.1643414280082922
ensis	mors	-0.19676290570066968
ensis	corpus	-0.23473075589969028
ensis	hostis	-0.27396591918279256
ensis	pars	-0.3018449517582269
ensis	hostis	-0.4344305913760387
ensis	miles	-0.46390170986720136
