Name	coll_freq
gloria	10
orbis	10
arma	69
mucrum	9
filius	20
animus	44
uirtus	16
paries	7
ira	31
piscis	5
signum	25
os	33
uulnus	30
ciuitas	9
deus	26
mors	45
caritas	7
caput	43
ratio	7
strictus	10
parricidium	5
corpus	42
cubiculum	11
gens	32
pedes	6
miles	64
gladius	981
homo	40
uagina	16
ferrum	47
scutus	6
bellum	55
comes	11
caelum	17
beneficium	5
orio	4
membrum	9
frater	19
adulterium	4
iugulum	12
sol	10
percussor	6
facinus	14
lux	17
mucro	15
copia	7
galea	17
ars	11
tyrannus	7
nex	6
clipeo	5
reus	3
uox	17
sors	13
latus	28
iudex	12
uultus	20
impetus	21
sententia	13
iudicium	6
ceruix	11
maritus	6
dux	27
hostis	82
ensis	274
nauis	15
uenenus	6
mulier	10
usus	13
caedes	24
silentium	6
dominus	24
pater	35
uxor	10
ignis	25
pars	44
laus	9
lex	12
sanguis	52
uir	46
pilum	18
causa	22
campus	15
opus	17
lectus	4
forum	12
equus	28
quies	10
potestas	7
centurio	9
legio	10
contio	9
fames	9
pax	24
nihil	8
cruor	26
libertas	7
uictor	15
clipeus	17
uictus	9
manus	105
telum	66
species	12
spatium	7
acies	45
capulum	12
populus	25
iuuenis	13
pilus	18
dolor	9
modus	24
lanceus	6
seruus	17
terra	27
femor	5
princeps	12
