from	to	MI
pater	incommodum	2.209226289935703
pater	felicior	2.209226289935703
pater	inuideo	1.974761036298677
pater	mi	1.957687522939736
pater	merco	1.8872981950483396
pater	fusci	1.844229473156453
pater	edepol	1.8414945054352145
pater	gauda	1.7617673129644817
pater	heredi	1.7617673129644817
pater	iuue	1.7617673129644817
pater	nouerco	1.7617673129644817
pater	tyranno	1.6946531171059434
pater	rapta	1.664905773711892
pater	furiosus	1.624263789214547
pater	merco	1.624263789214547
pater	nouerco	1.624263789214547
pater	rapta	1.6035052290477498
pater	tyranno	1.5877379131894322
pater	mi	1.565370100160976
pater	raptor	1.5247281156636312
pater	sentio	1.4722606957694957
pater	suom	1.4722606957694957
pater	fusci	1.4291919738776109
pater	raptor	1.41781291174712
pater	erus	1.3897985355775209
pater	mor	1.3727250222185816
pater	salue	1.3727250222185816
pater	clanculum	1.3467298136856378
pater	exheres	1.3467298136856378
pater	inuideo	1.3467298136856378
pater	aegritudo	1.3467298136856378
pater	culleus	1.3467298136856378
pater	fallacia	1.3467298136856378
pater	nouercus	1.3467298136856378
pater	parricidius	1.3023356943271835
pater	proditio	1.3023356943271835
pater	cestius	1.3023356943271818
pater	tuom	1.3023356943271818
pater	uolt	1.3023356943271818
pater	rusticus	1.2658098183020705
pater	dementia	1.249868274433048
pater	tyran	1.2498682744330463
pater	redemptio	1.235221498468647
pater	contumacia	1.2092262899357031
pater	cruentus	1.2092262899357031
pater	tractatio	1.2092262899357031
pater	uestitus	1.2092262899357031
pater	dementia	1.1954204904106724
pater	epistola	1.1768048122433257
pater	tyran	1.1674061142410732
pater	caesi	1.150332600882134
pater	memorus	1.150332600882134
pater	auo	1.150332600882134
pater	innocens	1.150332600882134
pater	procurator	1.150332600882134
pater	tyrannum	1.150332600882134
pater	ultio	1.1436379483081254
pater	diues	1.1410547872941237
pater	edepol	1.135225708491923
pater	proditor	1.135225708491923
pater	quaestio	1.1186237411547957
pater	cestius	1.1096906163847873
pater	epistola	1.1096906163847855
pater	color	1.0843350421078952
pater	tractatio	1.05722319649065
pater	color	1.0533081464872716
pater	diues	1.0448394720348197
pater	quaestio	1.0361615809628226
pater	asperus	1.024801718798276
pater	iuuen	1.024801718798276
pater	liberi	1.024801718798276
pater	mor	1.024801718798276
pater	naues	1.024801718798276
pater	anulus	1.024801718798276
pater	carnifex	1.024801718798276
pater	ebrietas	1.024801718798276
pater	grandis	1.024801718798276
pater	parum	1.024801718798276
pater	parricidium	1.017694832304013
pater	tyrannus	1.0092887194269515
pater	disputatio	1.0027754124682762
pater	pupillus	1.0027754124682762
pater	restitutio	1.0027754124682762
pater	uolt	1.0027754124682762
pater	patrocinium	1.0027754124682762
pater	desertum	0.9868338685992537
pater	inimicitia	0.9868338685992537
pater	praesentia	0.9868338685992537
pater	praeses	0.9868338685992537
pater	parricidius	0.9653007070496109
pater	abdicatio	0.9576875229397359
pater	tyrannus	0.956339839477991
pater	mars	0.941745979070717
pater	parricidium	0.9066635199152699
pater	alimentum	0.8872981950483414
pater	cadauer	0.8872981950483414
pater	carnifex	0.8872981950483414
mater	germana	2.133483848888975
mater	cacumen	2.063094520997579
mater	inpatientia	2.063094520997579
mater	tuom	2.063094520997579
mater	matr	1.9110914275525275
mater	magus	1.8407020996611294
mater	pullus	1.8330889155512544
mater	amus	1.7855605454686696
mater	medulla	1.7855605454686696
mater	uiscer	1.7855605454686696
mater	uitricus	1.7855605454686696
mater	castitas	1.7046405500851005
mater	bracchia	1.6886990062160763
mater	ancilla	1.6740522302516787
mater	obiectum	1.648057021718735
mater	truncus	1.648057021718735
mater	uitricus	1.648057021718735
mater	ouum	1.6156355440263575
mater	complexus	1.589163332665164
mater	uber	1.5485213481678173
mater	agnus	1.5187740047737641
mater	crinis	1.4781320202764228
mater	omo	1.4781320202764228
mater	ouum	1.4781320202764228
mater	pullus	1.4705188361665442
mater	uulnerum	1.4516598089152293
mater	nympha	1.4516598089152293
mater	sorus	1.441606144251308
mater	amica	1.3932431226899098
mater	osculum	1.3838444246876591
mater	nex	1.3785963467255051
mater	affectus	1.370523046189824
mater	osculum	1.3552752724908892
mater	ancilla	1.3261289268313732
mater	aeda	1.3261289268313714
mater	castitas	1.3261289268313714
mater	complexus	1.3261289268313714
mater	exsilium	1.3261289268313714
mater	aluo	1.3261289268313714
mater	humus	1.3261289268313714
mater	ostium	1.3261289268313714
mater	meretrix	1.3261289268313714
mater	ramus	1.3261289268313714
mater	cibus	1.3261289268313696
mater	sagitta	1.3261289268313696
mater	uirginitas	1.3261289268313696
mater	fetus	1.2755028537614024
mater	thalamus	1.259014730972833
mater	auia	1.2330195224398892
mater	colla	1.2330195224398892
mater	orba	1.2330195224398892
mater	tunica	1.2265932532804555
mater	agnus	1.2192137229148585
mater	adfectus	1.2192137229148585
mater	partus	1.2165044356568693
mater	gemina	1.2106517094114349
mater	nocs	1.2106517094114349
mater	rus	1.2106517094114349
mater	uterus	1.210651709411433
mater	gremium	1.2074844303327517
mater	animal	1.2005980447475135
