Name	coll_freq
exheres	4
anulus	5
delicia	20
amus	8
abdicatio	10
amica	21
redemptio	11
felicior	2
restitutio	6
erus	6
sagitta	19
ausa	13
thalamus	22
pupillus	6
sentio	4
merco	3
nutrix	19
complexus	10
castitas	10
quaestio	46
nympha	11
mars	13
dementia	21
bracchia	14
ultio	18
animal	12
uber	18
funerum	30
orbitas	29
nex	27
colla	16
liberi	10
inimicitia	7
alimentum	27
lac	29
affectus	32
aeda	13
adfectus	14
color	41
argentum	30
cruentus	4
incommodum	2
ostium	12
canis	19
matrona	20
uolt	6
tyrannus	51
ouum	9
suom	4
innocens	5
catena	18
serpens	20
praeses	7
auo	5
saeuus	22
cacumen	6
crinis	9
procurator	5
partus	41
germana	8
gemina	13
gremium	38
uestitus	4
praesentia	7
inpatientia	6
iuue	3
tyranno	4
orba	16
obsequium	17
humus	13
contumacia	4
sorus	12
dea	69
radix	13
sonus	15
patrocinium	6
cibus	29
calamitas	26
uilla	18
medulla	8
ceruix	19
proditio	9
tyrannum	10
heredi	3
cadauer	5
meretrix	10
ciner	16
raptor	9
matr	8
disputatio	6
osculum	49
nocs	13
uiscer	8
rapta	7
parricidium	37
edepol	8
salue	5
nouerca	52
tunica	15
aegritudo	4
truncus	8
rusticus	5
reuerentia	26
uirginitas	19
clanculum	4
magus	7
grandis	5
capillus	15
rumor	20
fetus	29
auia	32
agnus	14
exsilium	10
uitricus	8
cestius	6
ancilla	22
inuideo	4
tuom	6
tyran	7
gemitus	37
mor	5
fallacia	4
soror	197
pullus	19
iuuen	10
culleus	4
aluo	11
naues	5
parum	5
mater	3315
epistola	9
caesi	5
desertum	7
diues	13
asperus	5
pernicies	15
parricidius	9
ramus	13
pater	8987
libertus	18
rus	13
tractatio	8
omo	9
proditor	8
uulnerum	11
obiectum	8
gauda	3
furiosus	3
fusci	34
ebrietas	5
nouerco	3
uolucris	13
carnifex	5
mi	5
memorus	5
tormentum	12
nouercus	4
uterus	52
